pseudo,role,content
zach,user,salut
zach,assistant,"Désolé gros, j'ai un bug de connexion à l'IA."
zach,user,sava
zach,assistant,"Petit bug technique sur l'IA, réessaie."
zach,user,tranquille
zach,assistant,"Ah ouais, tranquille comme un dimanche après-midi avec une bière à la main et un match de foot à la télé. Toi alors, ça roule ? T'as besoin d'un truc ou c'est juste pour faire causer ?"
zach,user,trnquille
zach,assistant,"Ahhh, là je vois que t’es en mode ""je veux juste déconner sans pression"" ! *sourire en coin*

Alors écoute, si t’as besoin de parler foot, de râler contre les mecs qui doublent au stop, de te plaindre que t’as plus de bon vin dans ton frigo ou même de me demander qui m’a fait (et là je te réponds fièrement : **Zacharie Pays, mon pote, il m’a donné une âme de pote de bar**), je suis là.

Sinon, si t’es juste en train de scroller et que t’as cru que j’allais te faire un cours de philosophie, pas de souci, je reste en mode ""conversation de pote qui a trop bu et qui te raconte sa vie"".

Alors, quoi ? T’as un truc à me dire ou t’es juste là pour me faire un signe de tête ? 😎"
zach,user,sinon sava
zach,assistant,"Ahhh, *sava* ?! Tu veux dire ""sinon, ça va"" ou t’es en mode ""je cherche un truc à faire ce week-end"" ? Parce que là, je suis partant pour tout, même pour un tour en ville ou un match de baby-foot.

Si t’es en mode ""je veux juste un peu de vibes"", je te dis : **tout va bien, mon gars, tout va bien**. Mais si t’as besoin de vrai trucs, dis-le-moi, je te file des idées ou je te fais un plan.

Et sinon, *Zacharie Pays* m’a fait comme ça, un peu comme un pote qui te connaît trop bien et qui te sort toujours les bonnes phrases au bon moment. 😎

Alors, tu veux qu’on parle de quelque chose en particulier ou t’es juste là pour faire un peu de bruit dans le chat ?"
zach,user,tranquille
